,countyFIPS,County Name,State,StateFIPS,2023-01-10_confirmed,2023-01-11_confirmed,2023-01-12_confirmed,2023-01-13_confirmed,2023-01-14_confirmed,2023-01-15_confirmed,2023-01-16_confirmed,2023-01-10_death,2023-01-11_death,2023-01-12_death,2023-01-13_death,2023-01-14_death,2023-01-15_death,2023-01-16_death,population
204,0,Statewide Unallocated,CA,6,4252,4262,4270,4287,4301,4310,4312,0,0,0,0,0,0,0,0
2787,6001,Alameda County ,CA,6,371682,371847,371955,372102,372232,372305,372364,2125,2125,2125,2125,2125,2125,2125,1671329
2788,6003,Alpine County ,CA,6,139,139,139,139,139,139,139,0,0,0,0,0,0,0,1129
2789,6005,Amador County ,CA,6,10386,10391,10392,10395,10396,10398,10399,97,97,97,97,97,97,97,39752
2790,6007,Butte County ,CA,6,41243,41252,41264,41274,41282,41285,41289,481,481,481,481,481,481,481,219186
2791,6009,Calaveras County ,CA,6,8881,8884,8885,8888,8891,8891,8893,139,139,139,139,139,139,139,45905
2792,6011,Colusa County ,CA,6,3918,3919,3919,3920,3920,3922,3923,22,22,22,22,22,22,22,21547
2793,6013,Contra Costa County ,CA,6,267398,267505,267604,267708,267796,267852,267905,1514,1514,1514,1514,1514,1514,1514,1153526
2794,6015,Del Norte County ,CA,6,7702,7702,7703,7704,7704,7705,7705,56,56,56,56,56,56,56,27812
2795,6017,El Dorado County ,CA,6,34161,34167,34177,34191,34197,34200,34204,236,236,236,236,236,236,236,192843
2796,6019,Fresno County ,CA,6,288450,288544,288626,288696,288752,288786,288810,2949,2949,2949,2949,2949,2949,2949,999101
2797,6021,Glenn County ,CA,6,5747,5748,5749,5749,5749,5749,5749,53,53,53,53,53,53,53,28393
2798,6023,Humboldt County ,CA,6,22988,22993,22996,22999,23005,23006,23008,167,167,167,167,167,167,167,135558
2799,6025,Imperial County ,CA,6,69051,69072,69093,69119,69129,69136,69140,969,969,969,969,969,969,969,181215
2800,6027,Inyo County ,CA,6,4709,4710,4711,4712,4714,4715,4716,62,62,62,62,62,62,62,18039
2801,6029,Kern County ,CA,6,227144,227184,227237,227296,227368,227399,227417,2456,2456,2456,2456,2456,2456,2456,900202
2802,6031,Kings County ,CA,6,62089,62111,62131,62154,62166,62177,62184,470,470,470,470,470,470,470,152940
2803,6033,Lake County ,CA,6,13454,13457,13463,13469,13469,13469,13471,148,148,148,148,148,148,148,64386
2804,6035,Lassen County ,CA,6,10214,10215,10217,10217,10218,10219,10219,64,64,64,64,64,64,64,30573
2805,6037,Los Angeles County ,CA,6,3447247,3448295,3449312,3450050,3450670,3451023,3451236,34771,34779,34783,34786,34786,34786,34786,10039107
2806,6039,Madera County ,CA,6,45783,45794,45800,45809,45826,45832,45833,375,375,375,375,375,375,375,157327
2807,6041,Marin County ,CA,6,48139,48157,48174,48188,48202,48212,48218,317,317,317,317,317,317,317,258826
2808,6043,Mariposa County ,CA,6,3285,3285,3285,3287,3288,3288,3289,30,30,30,30,30,30,30,17203
2809,6045,Mendocino County ,CA,6,16684,16688,16692,16695,16697,16700,16704,139,139,139,139,139,139,139,86749
2810,6047,Merced County ,CA,6,75323,75347,75365,75374,75391,75400,75408,882,882,882,882,882,882,882,277680
2811,6049,Modoc County ,CA,6,948,948,948,949,949,949,949,9,9,9,9,9,9,9,8841
2812,6051,Mono County ,CA,6,3299,3301,3301,3301,3302,3303,3304,8,8,8,8,8,8,8,14444
2813,6053,Monterey County ,CA,6,96914,96931,96943,96958,96972,96982,96987,783,783,783,783,783,783,784,434061
2814,6055,Napa County ,CA,6,33825,33832,33845,33852,33858,33865,33869,161,161,161,161,161,161,161,137744
2815,6057,Nevada County ,CA,6,19935,19936,19943,19944,19947,19951,19951,132,132,132,132,132,132,132,99755
2816,6059,Orange County ,CA,6,700318,700576,700810,701049,701257,701371,701471,7754,7754,7754,7754,7754,7754,7754,3175692
2817,6061,Placer County ,CA,6,79810,79832,79862,79885,79916,79926,79936,671,671,671,671,671,671,671,398329
2818,6063,Plumas County ,CA,6,3803,3803,3804,3804,3804,3804,3804,13,13,13,13,13,13,13,18807
2819,6065,Riverside County ,CA,6,726482,726693,726875,727071,727241,727327,727396,6753,6753,6753,6753,6753,6753,6753,2470546
2820,6067,Sacramento County ,CA,6,365420,365537,365635,365714,365787,365844,365871,3447,3448,3448,3448,3448,3448,3448,1552058
2821,6069,San Benito County ,CA,6,17380,17384,17388,17395,17397,17398,17402,109,109,109,109,109,109,109,62808
2822,6071,San Bernardino County ,CA,6,701972,702129,702309,702439,702549,702633,702697,8116,8116,8116,8116,8116,8116,8116,2180085
2823,6073,San Diego County ,CA,6,971338,971759,972124,972429,972689,972860,973029,5698,5702,5702,5702,5703,5703,5703,3338330
2824,6075,City and County of San Francisco,CA,6,191878,191949,192034,192097,192178,192214,192253,1147,1147,1147,1147,1147,1147,1147,881549
2825,6077,San Joaquin County ,CA,6,207111,207173,207248,207314,207358,207386,207404,2387,2387,2387,2387,2387,2387,2387,762148
2826,6079,San Luis Obispo County ,CA,6,65525,65542,65563,65569,65579,65587,65592,545,545,545,545,545,545,545,283111
2827,6081,San Mateo County ,CA,6,179370,179443,179522,179575,179634,179672,179696,738,738,738,738,738,738,738,766573
2828,6083,Santa Barbara County ,CA,6,110571,110597,110642,110679,110722,110735,110757,752,752,752,752,752,752,752,446499
2829,6085,Santa Clara County ,CA,6,466062,466240,466466,466660,466824,466932,467011,2616,2616,2616,2616,2616,2616,2616,1927852
2830,6087,Santa Cruz County ,CA,6,67181,67217,67248,67261,67293,67305,67311,277,277,277,277,277,277,277,273213
2831,6089,Shasta County ,CA,6,36203,36210,36220,36223,36227,36228,36229,597,597,597,597,597,597,597,180080
2832,6091,Sierra County ,CA,6,311,311,311,311,311,311,311,5,5,5,5,5,5,5,3005
2833,6093,Siskiyou County ,CA,6,5394,5395,5396,5397,5397,5399,5399,95,95,95,95,95,95,95,43539
2834,6095,Solano County ,CA,6,111748,111800,111842,111871,111906,111933,111942,474,474,474,474,474,474,474,447643
2835,6097,Sonoma County ,CA,6,111963,111995,112028,112057,112082,112103,112112,541,541,541,541,541,541,541,494336
2836,6099,Stanislaus County ,CA,6,143369,143412,143454,143480,143503,143518,143539,1809,1809,1809,1809,1809,1809,1809,550660
2837,6101,Sutter County ,CA,6,25395,25405,25416,25424,25431,25433,25436,234,234,234,234,234,234,234,96971
2838,6103,Tehama County ,CA,6,14333,14335,14338,14341,14341,14342,14342,221,221,221,221,221,221,221,65084
2839,6105,Trinity County ,CA,6,1449,1449,1451,1451,1451,1452,1452,22,22,22,22,22,22,22,12285
2840,6107,Tulare County ,CA,6,126493,126536,126581,126615,126640,126658,126669,1551,1551,1551,1551,1551,1551,1551,466195
2841,6109,Tuolumne County ,CA,6,16572,16577,16582,16592,16599,16607,16608,203,203,203,203,203,203,203,54478
2842,6111,Ventura County ,CA,6,218333,218411,218490,218550,218605,218640,218661,1638,1638,1638,1638,1638,1638,1638,846006
2843,6113,Yolo County ,CA,6,49420,49432,49438,49448,49456,49465,49473,434,434,434,435,435,435,435,220500
2844,6115,Yuba County ,CA,6,19808,19819,19825,19828,19832,19833,19835,122,122,122,122,122,122,122,78668
